Designator,Mid X,Mid Y,Rotation,Layer
C1,159.75,-105.0,0.0,bottom
C10,144.25,-97.0,0.0,bottom
C11,168.5,-92.75,0.0,bottom
C12,168.5,-89.25,0.0,bottom
C2,131.09999,-97.705199,0.0,bottom
C3,156.75,-102.75,270.0,bottom
C4,155.5,-102.75,270.0,bottom
C5,154.5,-98.5,180.0,bottom
C6,143.852156,-94.735638,0.0,bottom
C7,144.25,-96.0,0.0,bottom
C8,154.0,-97.0,270.0,bottom
C9,143.843179,-98.282456,0.0,bottom
D1,173.5,-106.5,90.0,bottom
D2,131.15,-99.95,270.0,bottom
FB1,130.75,-96.5,0.0,bottom
J1,123.5,-100.0,90.0,bottom
J2,175.9125,-91.75,90.0,bottom
R1,131.0,-108.0,270.0,bottom
R2,173.5,-104.0,0.0,bottom
R3,173.5,-102.5,0.0,bottom
R4,157.5,-107.5,0.0,bottom
R5,132.3,-108.0,90.0,bottom
R6,148.080071,-103.539773,270.0,bottom
R7,165.75,-90.5,180.0,bottom
R8,165.75,-91.5,180.0,bottom
U2,159.75,-102.75,0.0,bottom
U3,149.25,-99.0,270.0,bottom
USB1,177.9175,-103.0,270.0,bottom
